config_id,iterations,rcl_size,local_search_attempts,best,avg,std,time_ms
1,188,6,206,1.69259e+06,1.71747e+06,22225.6,39
2,158,2,181,1.6142e+06,1.63138e+06,12149.8,30
3,276,7,137,1.77686e+06,1.7941e+06,16665.8,41
4,133,4,236,1.65137e+06,1.67801e+06,18918.8,32
5,165,4,33,1.76755e+06,1.79305e+06,18463.1,9
6,119,2,289,1.59819e+06,1.61696e+06,13458.5,34
7,227,2,43,1.65282e+06,1.66177e+06,6569.87,14
8,45,5,236,1.66343e+06,1.70106e+06,26779.2,11
9,88,1,129,1.6178e+06,1.6239e+06,5155.83,10
10,255,3,142,1.67232e+06,1.68111e+06,9956.23,41
11,119,8,222,1.77284e+06,1.77897e+06,5462.34,27
12,222,3,191,1.64364e+06,1.64919e+06,4825.05,44
13,179,8,153,1.78465e+06,1.82447e+06,28169.5,29
14,131,6,288,1.6641e+06,1.68754e+06,20650.9,36
15,283,2,225,1.61947e+06,1.62434e+06,4342.38,66
16,155,2,95,1.64643e+06,1.65846e+06,9200.58,17
17,28,5,93,1.73651e+06,1.81684e+06,62135.6,3
18,65,5,256,1.69747e+06,1.7043e+06,5998.24,16
19,34,7,159,1.76936e+06,1.80733e+06,27077.5,5
20,288,5,63,1.77608e+06,1.79446e+06,16815,24
21,113,5,236,1.68997e+06,1.69879e+06,8917.46,27
22,153,1,116,1.63387e+06,1.63693e+06,3940.98,16
23,41,3,224,1.68487e+06,1.68882e+06,5269.41,9
24,135,4,218,1.69802e+06,1.70169e+06,2702.9,30
25,213,5,142,1.72793e+06,1.74291e+06,12577.7,33
26,149,2,41,1.66678e+06,1.66968e+06,3021.82,8
27,250,1,244,1.60533e+06,1.6097e+06,3300.18,54
28,20,6,291,1.70028e+06,1.71428e+06,16007.3,5
29,96,1,185,1.61273e+06,1.62089e+06,5846.02,16
30,48,3,108,1.72086e+06,1.72857e+06,5453.49,6
31,45,7,277,1.72596e+06,1.74166e+06,14248.1,12
32,290,2,241,1.62384e+06,1.62955e+06,6104.73,72
33,287,6,145,1.72947e+06,1.74184e+06,10132.6,46
34,166,2,44,1.67654e+06,1.68528e+06,6297.44,10
35,172,8,265,1.7343e+06,1.74614e+06,10413,44
36,233,6,199,1.70396e+06,1.72632e+06,16311.4,48
37,246,7,205,1.71557e+06,1.72969e+06,9996.64,53
38,223,6,199,1.69298e+06,1.70812e+06,12271.1,46
39,258,8,90,1.82601e+06,1.85075e+06,20998.8,28
40,273,4,201,1.68606e+06,1.6922e+06,4982.36,57
41,82,6,297,1.66348e+06,1.68781e+06,25719.1,23
42,34,8,208,1.75612e+06,1.78628e+06,41668.6,7
43,31,1,218,1.63514e+06,1.64077e+06,3994.42,6
44,185,8,300,1.64363e+06,1.68936e+06,35624.4,53
45,70,5,179,1.73467e+06,1.75384e+06,24553.2,13
46,152,8,107,1.85476e+06,1.87904e+06,29275.3,19
47,29,1,215,1.62543e+06,1.62913e+06,3003.14,5
48,225,3,74,1.71875e+06,1.72045e+06,1364.27,21
49,279,1,292,1.58553e+06,1.60152e+06,11826.1,72
50,138,8,243,1.69361e+06,1.74567e+06,38292.4,33
51,153,6,262,1.71055e+06,1.72129e+06,10175.9,39
52,35,7,147,1.82844e+06,1.83626e+06,10022.4,5
53,109,5,252,1.71141e+06,1.71653e+06,4325.69,27
54,201,1,202,1.61152e+06,1.61524e+06,3914.36,37
55,187,3,84,1.68648e+06,1.6977e+06,9890.85,19
56,177,1,155,1.60645e+06,1.62032e+06,9826.12,26
57,41,8,215,1.77004e+06,1.79097e+06,24884.9,8
58,169,3,143,1.66443e+06,1.66633e+06,1381.59,27
59,223,4,38,1.72839e+06,1.75042e+06,18266.9,13
60,180,3,245,1.63722e+06,1.6549e+06,12533.4,45
61,171,5,242,1.67994e+06,1.68637e+06,5224.08,42
62,205,3,227,1.64818e+06,1.65559e+06,5252.18,49
63,195,5,268,1.66113e+06,1.67965e+06,15708.4,52
64,139,5,266,1.67271e+06,1.69527e+06,16196.8,37
65,85,4,26,1.80912e+06,1.82876e+06,17415.9,4
66,149,7,298,1.6752e+06,1.69527e+06,16187.7,45
67,25,1,265,1.61382e+06,1.63104e+06,12589.9,6
68,72,5,127,1.72991e+06,1.75815e+06,26298.8,10
69,283,8,244,1.6671e+06,1.707e+06,30778.5,70
70,39,8,22,1.97534e+06,2.10431e+06,101505,1
71,118,1,235,1.58804e+06,1.60283e+06,10465.9,24
72,44,4,30,1.84782e+06,1.851e+06,2366.02,2
73,154,4,196,1.63215e+06,1.68504e+06,38016.7,31
74,183,7,96,1.80653e+06,1.82689e+06,14881.3,22
75,296,4,235,1.65769e+06,1.66453e+06,4844.14,71
76,45,4,114,1.77402e+06,1.77838e+06,5717.01,5
77,138,5,227,1.66915e+06,1.69143e+06,21942.4,31
78,225,2,20,1.66446e+06,1.68094e+06,12551.1,8
79,51,4,119,1.72992e+06,1.77154e+06,30847.5,6
80,103,3,259,1.61056e+06,1.62838e+06,16157.8,27
81,103,6,85,1.77605e+06,1.80868e+06,24401.1,10
82,185,1,97,1.64108e+06,1.64355e+06,3401,16
83,25,8,297,1.7763e+06,1.79483e+06,21096.4,7
84,32,4,50,1.814e+06,1.87017e+06,40830.5,2
85,127,4,210,1.68203e+06,1.68574e+06,2646.53,27
86,54,2,288,1.63135e+06,1.63917e+06,7760.78,16
87,286,7,240,1.69066e+06,1.71521e+06,18615.1,69
88,92,1,185,1.61264e+06,1.62146e+06,9337.51,15
89,137,8,267,1.72325e+06,1.73533e+06,8556.45,35
90,268,8,188,1.7341e+06,1.76313e+06,23322,51
91,151,8,192,1.75801e+06,1.77665e+06,17040.3,29
92,297,2,228,1.61088e+06,1.61924e+06,6786.72,70
93,298,1,85,1.64198e+06,1.64387e+06,2389.09,24
94,132,8,255,1.73393e+06,1.74573e+06,10139,33
95,202,2,190,1.60283e+06,1.6207e+06,12955.3,42
96,253,5,53,1.76032e+06,1.77724e+06,16926.2,19
97,84,1,69,1.6341e+06,1.64027e+06,5111.93,6
98,127,2,30,1.67578e+06,1.68582e+06,9560.39,6
99,72,8,239,1.74558e+06,1.75979e+06,10207.6,17
100,252,3,245,1.65128e+06,1.65866e+06,8569.95,63
