config_id,initial_temp,cooling_rate,min_temp,iter_per_temp,best,avg,std,time_ms
1,116506.3,0.99340,2.86,10,1561539.76,1565201.13,2883.04,21
2,37803.3,0.98936,0.61,5,1584356.98,1593016.73,11393.84,7
3,173584.5,0.99408,7.79,2,1591760.66,1608107.39,13590.05,4
4,196517.0,0.99417,6.04,3,1589293.08,1605100.07,11762.64,7
5,123065.8,0.98908,1.29,9,1577935.83,1589568.76,13308.77,12
6,70960.8,0.99830,0.62,10,1559753.89,1563568.83,2718.91,93
7,169021.5,0.98613,0.91,6,1573368.44,1597337.76,18649.75,7
8,297924.6,0.98140,5.76,7,1586711.86,1603453.55,18608.87,6
9,27253.2,0.98316,2.56,7,1572717.61,1576567.19,2819.52,6
10,139089.6,0.99192,6.05,4,1564834.21,1576872.95,13206.79,6
11,222444.7,0.99739,9.61,10,1561079.09,1562831.21,2290.35,53
12,267627.8,0.98866,6.39,4,1566338.04,1597471.25,38239.54,5
13,55055.6,0.99229,4.19,4,1572660.71,1598145.82,20256.56,6
14,177178.6,0.98148,9.76,3,1590508.49,1633692.18,49537.29,2
15,138706.1,0.98061,3.16,4,1603288.01,1625074.99,25691.25,3
16,245069.5,0.99301,2.04,2,1619625.99,1626698.04,9888.98,4
17,27479.1,0.99787,4.46,8,1559753.89,1562314.47,1852.19,45
18,185957.5,0.98795,9.36,9,1573726.93,1637580.17,53607.34,10
19,167718.4,0.98313,4.41,4,1578200.31,1649234.53,53595.94,3
20,244113.2,0.99876,1.93,4,1564432.31,1569492.30,5896.83,51
21,226125.6,0.98747,8.38,9,1573132.40,1592515.03,13784.59,10
22,252307.0,0.98891,4.44,2,1629442.33,1706229.40,85028.55,2
23,9033.2,0.98143,7.07,9,1604648.44,1612570.51,7747.64,4
24,299916.7,0.99894,5.78,6,1559753.89,1564932.00,4139.81,84
25,219205.6,0.99438,4.09,3,1567050.33,1576583.42,7404.89,8
26,137910.5,0.98245,9.56,3,1598850.49,1649186.52,38102.79,2
27,66132.2,0.99669,7.69,7,1564807.73,1570372.05,7231.81,26
28,110658.0,0.98216,6.88,5,1581361.41,1619325.80,37689.45,3
29,145482.2,0.99580,3.42,9,1562345.70,1571684.17,6882.31,31
30,167812.5,0.99066,8.83,8,1569450.64,1575754.78,4725.18,11
31,179037.0,0.98912,4.50,8,1579508.09,1603271.80,25598.66,10
32,187991.3,0.99338,2.52,10,1561348.01,1568547.81,5204.32,23
33,187092.8,0.99863,6.28,6,1562714.63,1566207.65,3888.32,63
34,120712.0,0.98831,9.09,8,1564690.88,1572173.55,7585.23,9
35,166496.7,0.98857,9.15,4,1589935.73,1607499.71,18337.95,4
36,188515.6,0.99638,9.52,8,1568606.28,1576971.90,5917.02,30
37,140507.3,0.99600,7.80,3,1577334.86,1601466.64,18491.00,10
38,140445.0,0.99862,5.18,4,1564723.49,1565714.91,1324.56,41
39,66693.6,0.99101,3.74,1,1649353.18,1668602.91,23912.58,1
40,43019.5,0.98243,1.94,5,1632283.51,1636232.37,3395.45,3
41,210811.9,0.98342,7.12,4,1633321.10,1718351.83,109830.41,3
42,269552.6,0.98901,6.84,10,1571929.78,1598897.29,28434.61,13
43,182570.9,0.98425,8.31,2,1636804.88,1684881.04,48226.81,1
44,87184.2,0.98336,1.34,6,1566392.08,1580565.36,10365.56,5
45,162654.9,0.98676,9.00,4,1584329.81,1621140.80,44512.99,4
46,153508.1,0.99312,0.87,1,1619137.86,1699209.44,56640.65,2
47,146937.9,0.99307,5.36,9,1560589.24,1564057.21,4142.47,18
48,276657.4,0.98116,3.13,9,1578996.60,1601839.65,21242.80,7
49,29932.5,0.99135,9.87,3,1608715.90,1622554.03,14884.21,3
50,114289.3,0.98921,6.37,8,1561914.90,1570945.09,7624.22,9
51,161723.4,0.99369,1.09,1,1633819.31,1716438.70,71549.43,2
52,79468.9,0.99355,9.00,9,1563129.90,1567313.93,4763.07,17
53,226136.8,0.98058,8.74,5,1567201.18,1618818.93,36598.52,3
54,162122.1,0.98461,3.06,8,1573604.95,1603594.45,28820.13,7
55,58773.7,0.99072,8.49,3,1598854.59,1658446.85,53761.33,4
56,101611.7,0.98228,8.96,4,1598325.08,1614182.08,16921.61,3
57,144821.1,0.98675,6.66,5,1585011.08,1605374.68,24208.54,5
58,30641.5,0.99021,6.07,6,1569301.81,1581196.73,9416.75,7
59,178028.0,0.99072,4.10,3,1610334.94,1630118.35,15775.15,4
60,112109.3,0.99227,5.92,3,1579321.54,1616045.09,31919.85,5
61,151983.1,0.98628,9.37,3,1634900.07,1646625.03,13608.22,2
62,35025.8,0.98290,2.84,5,1585756.49,1639659.77,48849.94,3
63,255991.2,0.98167,8.16,2,1687253.46,1725432.83,32191.39,1
64,269545.8,0.98152,5.48,1,1689844.69,1876765.16,147109.40,0
65,210603.6,0.99895,9.02,4,1559753.89,1562085.75,1853.55,53
66,290993.8,0.99644,8.26,10,1562714.63,1566578.63,3183.61,41
67,149770.9,0.99374,8.30,10,1560589.24,1569734.02,7245.98,21
68,169245.1,0.99086,3.16,9,1568745.36,1578778.35,10897.58,14
69,65497.9,0.99839,7.25,5,1561687.16,1567463.68,5942.96,39
70,154745.1,0.98461,1.59,8,1577122.44,1603252.43,27678.54,8
71,231495.0,0.98166,5.31,2,1586671.64,1633107.97,50005.94,1
72,146936.3,0.99012,0.99,4,1574297.21,1602322.35,35601.68,6
73,139009.1,0.99042,5.71,10,1559918.48,1568664.00,7793.52,14
74,100094.4,0.99539,2.92,2,1610939.21,1612823.56,1336.83,6
75,5799.7,0.98222,5.00,5,1602505.00,1628625.41,21659.01,2
76,126493.1,0.98663,9.33,9,1591557.53,1603843.31,12402.88,9
77,225062.5,0.98776,9.36,8,1578952.48,1585717.39,5595.20,9
78,281810.4,0.98344,1.13,10,1559753.89,1568582.70,8083.62,10
79,217871.0,0.98091,7.92,2,1690341.16,1730918.81,29576.43,1
80,239603.9,0.98383,2.05,9,1579854.75,1589810.04,7691.72,9
81,59989.5,0.98448,6.52,6,1584832.98,1615466.52,22552.98,5
82,110855.0,0.99667,4.23,7,1561687.16,1568658.32,6811.12,29
83,138324.8,0.99356,9.05,5,1559753.89,1564880.95,5234.87,10
84,93906.5,0.99420,5.28,6,1568142.73,1581299.21,12672.65,14
85,109831.9,0.98744,5.55,6,1571238.80,1584861.00,11902.07,6
86,272409.3,0.99186,1.61,5,1584912.90,1600864.22,17698.41,10
87,103180.7,0.99388,7.09,2,1592338.18,1625751.53,24915.95,4
88,239237.4,0.99178,5.57,8,1563892.53,1572967.46,10178.21,14
89,174079.5,0.99896,7.65,4,1561079.09,1563146.42,1495.18,52
90,78304.3,0.99413,0.82,3,1574829.10,1597837.24,22729.18,8
91,215648.9,0.98939,7.67,4,1595787.74,1618271.27,31552.57,5
92,247270.9,0.98210,8.54,5,1635106.86,1659947.74,31388.25,4
93,183167.6,0.98954,5.63,2,1602496.36,1613322.46,11608.10,2
94,72629.2,0.99372,7.34,1,1712596.34,1784451.52,60239.95,2
95,181540.6,0.99074,7.30,3,1591448.61,1619117.53,21917.02,4
96,106980.3,0.98345,9.13,4,1570899.21,1608942.71,37486.64,3
97,72068.5,0.98805,3.24,10,1574087.43,1579693.51,4912.56,11
98,50238.7,0.99114,5.31,2,1650372.09,1671688.16,15823.96,2
99,80524.6,0.99380,6.13,10,1563795.40,1569554.55,7422.24,21
100,171714.3,0.99324,9.26,1,1666269.55,1703231.54,39912.50,2
